,白话文,文言文
4420,这时药上菩萨。在虚空中这样说道。,尔时，药上于虚空中而作是言：
4421,颜回说：“我听说，鸟急了会啄人，兽急了会抓人，人走投无路则会诈骗，马筋疲力尽则会逃走。,颜回曰：“臣闻之，鸟穷则啄，兽穷则攫，人穷则诈，马穷则佚。
4422,孙鑨传孙鑨，字文中，父亲孙升，字志高，是都御史孙燧的小儿子。,孙鑨，字文中。父升，字志高，都御史燧季子也。
4423,众生若能灭除尘劳，也即背尘合于真觉就能发现真如妙觉。,灭尘合觉，故发真如妙觉明性。
4424,但是苏峻防卫很严密，这件事没有成功。,而峻衙御甚严，事遂不果。
4425,第五是，我看见殿下禁忌动土，严令不得修缮墙壁，整修房瓦。,其五曰，窃见禁土，令不得缮修墙壁，动正屋瓦。
4426,宇文护代他奏请，得到高祖允许，又升为柱国。,护为奏请，高祖许之。又进位柱国。
4427,这时，阿育王子就乘那老象，乃至园馆中，在诸位王子中，坐在于地上。,时，阿育乘是老象，乃至园馆中，于诸王子中地坐。
4428,廷臣请求改由河东供盐给福王，并且不再与百姓进行交易。,廷臣请改给王盐于河东，且无与民市。
4429,御史中丞崔宽是剑南西川节度使宁的弟弟，家境富有，在皇城之南建有别墅，池馆台榭，在当时被称为第一，宽就在当天暗中派人将其拆毁。,御史中丞崔宽，剑南西川节度使宁之弟，家富于财，有别墅在皇城之南，池馆台榭，当时第一，宽即日潜遣毁拆。
4430,佛陀又告诉比丘们说：,佛告比丘：
4431,司马伦素来平庸鄙下，没有智谋策略，于是又被孙秀所掣肘，孙秀的威严权势震动朝廷，天下人都侍奉孙秀而对司马伦无所求。,伦素庸下，无智策，复受制于秀，秀之威权振于朝廷，天下皆事秀而无求于伦。
4432,起初，公孙述听说汉兵还在平曲，所以派遣大军去抵抗。,初，述闻汉兵在平曲，故遣大兵逆之。
4433,朕日夜操劳，思量进一步掌握施政之要领，然而枢机大事仍然积压，施政之方略未能形成系统，我日里夜里都戒勉不已，不知如何救助。,朕日昃劬劳，思弘治要，而机事尚拥，政道未凝，夕惕于怀，罔知攸济。
4434,往昔之时，阿须伦曾自生念而说：,昔者，阿须伦自生念言：
4435,世尊啊！即使长者连最小的一辆车都不赐予他们，也算不上虚言妄语。,世尊！若是长者，乃至不予最小一车，犹不虚妄。
4436,魏郡人在他活着时为他建祠庙，树碑赞美他。,魏人为营生祠，立石颂美。
4437,黄帝时代蚩尤凭借它发动战争，自此以后，帝王大多占据这个地区。,黄帝时，蚩尤为兵阶，自后帝王多居其地。
4438,菩萨于此深定之中，见佛在莲华上坐，为诸众生说心地道百法明门，是菩萨人等，兴种种供养，听受妙法，又增一劫住定。,见佛莲华坐，说百法门。是人供养听法，一劫住定。
4439,于是他回头看到他的万民，挨饿不给食物吃，寒冷不给衣服，有疾病不给服侍疗养，死亡后不埋葬。,是故退睹其万民，饥即不食，寒即不衣，疾病不侍养，死丧不葬埋。
4440,营首所在的地方，下面有大规模的战争，要流血。”,营首所在，下有大兵，流血。”
4441,愿众生与诸佛如来完全平等，能成就自在一切佛法。,愿一切众生与诸如来皆悉平等，一切佛法无不自在；
4442,天将亮时，皇上在寿皇亭驾崩，承恩也在亭下上吊。,天将曙，帝崩于寿皇亭，承恩即自缢其下。
4443,五月初五，下诏：“两制臣僚原来不许到执政私第，执政所荐举的官员不得用为御史，从今天起废除这个规定。”,五月戊戌，诏：两制臣僚旧制不许诣执政私第，所举荐不得用为御史，今除其法。
4444,也如土坏，同样的也会归于坏毁而不可以保久的；,亦如土坏，同亦归坏不可久保；
4445,达云的战功在西部边境为第一。,为西陲战功第一。
4446,那个地方有一个山，其名叫做耆梨，山中住有一位织师家。,彼有一山，名曰耆梨，中有一织师家。
4447,希望您能明察。”,愿公之察也。”
4448,独孤信乘胜袭击荆州。,信乘胜袭荆州。
4449,高祖亲自指挥将士，令宇文福率领高车部羽林五百骑突袭敌军南面，占领其桥梁道路，阻遏斩绝其归路。,高祖指麾将士，敕福领高车羽林五百骑出贼南面，夺其桥道，遏绝归路。
4450,这些鸟不分白天夜晚，每时每刻地啼唱着和平优雅的声音。那和平优雅的声音，是在演说五根、五力、七菩提分、八圣道分以及如此等等的佛法。,是诸众鸟，昼夜六时出和雅音，其音演畅五根、五力、七菩提分、八圣道分如是等法。
4451,“供养佛、法、僧的福报，无法计量。,“三尊福报，甚丰无量。
4452,母亲是个聪明的人，对他说：“你无法与他相比，不要接受。”,其母，聪明妇人也，谓之曰：“此非汝比，勿受之。”
4453,使一切的众生，都得到涅槃的快乐。,令一切众生，证涅槃乐。
4454,桓豹奴更加不高兴。,桓逾不说。
4455,‘你到维摩诘那里去探问他的疾病吧。,‘汝行诣维摩诘问疾。
4456,“倘若这美妙的觉悟之心，本自美妙觉悟澄明，它和静寂的佛心一样不加一分也不减一厘。,“若此妙觉，本妙觉明，与如来心不增不减。
4457,冒犯国家的禁令，,犯王禁法。
4458,皇帝派高力士去看，见张说蓬头垢面，坐在草席上，他的家人用瓦钵子装着粗米饭及腌菜给他吃，作为自罚。,帝遣高力士往视，见说蓬首垢面，席藁，家人以瓦器馈脱粟盐疏，为自罚忧惧者。
4459,应当要作如是而学！”,当作是学。”
4460,慕容超也非常领会慕容德的意思，在家裹时就极意奉事慕容德，在外边就谦恭对待贤士，于是襄外都夸赞他。,超亦深达德旨，入则尽欢承奉，出则倾身下士，于是内外称美焉。
4461,就类似于那株树之均悉敷花那样。,如似彼树皆悉敷花。
4462,国人造恶业，人王不禁制，放纵不治罪，不施以正教，舍离远善法，增长诸恶趣，故使国土中，奸诈日增多，三十三天众，咸生愤怒心。,若有恶事，纵而不问，不治其罪，不以正教，舍远善法，增长恶趣，故使国中，多诸奸斗，三十三天，各生嗔恨。
4463,秦国和楚、魏一道攻齐，并独吞赵国，齐、赵两国就都会灭亡了。”,秦从楚、魏攻齐，独吞赵，齐、赵必俱亡矣。”
4464,于志宁回答说“：东汉班固的《汉书艺文志》只收录了《黄帝内、外经》，没有收录《神农本草经》，到了南齐阮孝绪的《七录》才收录了它。,对曰：“班固唯记《黄帝内外经》，不载《本草》，至齐《七录》乃称之。
4465,六月改任礼部尚书兼东阁大学士，参予机要事务，仍然掌管兵部的事情。,六月，改礼部尚书兼东阁大学士，入参机务，仍掌兵部事。
4466,于是引蠫入帐，蠫不拜。,于是引瑀入，瑀不拜，
4467,皇上嘱咐韩观招抚他们，八十余洞全都归附。,帝属观抚之，八十余洞皆归附。
4468,赏赐王宏一千斛粮食，布告天下，使大家都知道他的功绩。”,其赐宏谷千斛，布告天下，咸使闻知。”
4469,菩萨修行的这一方面内容虽已得到满足，但他还不能对四种真理表述的存在道理进行直接的静观，他只是贪恋于自己的内心感受，无法从自己的精神幻觉里走出来，因此他还需要勤勉不懈的继续努力，最后他就能突破精神幻觉，而对存在各方面的本性作直接的静观；,彼诸菩萨由是因缘此分圆满，而未能令随所获得菩提分法多修习住，心未能舍诸等至爱及与法爱，由是因缘于此分中犹未圆满，为令此分得圆满故，精勤修习便能证得；
4470,染了颜色的绵绸称为彩。”,帛之有色者曰采。”
4471,当时王澄在王敦处闲坐，看到谢馄谈话不倦，感叹衹有谢长史可以和他言谈，瞧都不瞧王敦一眼，谢鲲常受到他人这样的钦慕。,时王澄在敦坐，见鲲谈话无勌，惟叹谢长史可与言，都不眄敦，其为人所慕如此。
4472,太公说：“古代善于作战的人并不是能战于天上，也不是能战于地下，他们的成功与失败都由于神妙的态势，得到这种态势的就胜利，得不到这种态势的就败亡。,太公曰：“古之善战者非能战于天上，非能战于地下，其成与败皆由神势，得之者昌，失之者亡。
4473,三月后，升朔、易二州帅臣，诏授高琼任侍卫步军都指挥使，领归义军节度，而范廷召等辈才开始加授观察使，不能跟高琼相比。,三月，迁朔、易帅臣，制授琼侍卫步军都指挥使、领归义军节度，廷召辈始加观察使，不得与琼比。
4474,因为《集论》中说：“无痴是以对果报、佛法的教导、修证、智四者的抉择为主体，这四者分别对应于与生俱来慧以及闻慧、思慧、修慧四种慧，这些慧都是以抉择为其本性。”,《集论》说此“报、教、证、智决择为体，生得、闻、思、修所生慧，如次皆是决择性”故。
4475,佛陀知道他之所以如此，是因为他没有认识到自己的本来面目，于是就带着弟子们来到这个国家。,佛知其行，不会本识，将诸弟子，往到其国。
4476,再次，所谓生灭的内因与外缘，是指一切生灭现象，都是依止众生之心、意、意识而生起的。,复次，生灭因缘者，所谓众生依心、意、意识转故。
4477,减少子孙们继承实封者一半的租税，永远成为常规。,壬申，减子孙袭实封者半租，永为常式。
4478,我的儿子‘睒，是天底下最孝敬者，没有人能胜过他，他踩在地上，常恐大地会疼痛，他有什么罪孽，要用箭去射杀他呢？,我子睒者，天下至孝，无有能过，蹈地常恐地痛，有何罪故而射杀之？
4479,触是由六入而起之故，六入就是触的缘因。,触从六入起。六入是触缘。
4480,每一片莲叶间装饰着百亿颗摩尼珠，,一一叶间，有百亿摩尼珠王，以为映饰。
4481,又过了一段时间，贫穷游子终于能与父亲交心，彼此沟通，信任不疑，在父亲家中随便出入，也不像从前那样犯难，只是依然在原来的贫窟住宿而已。,过是已后，心相体信，入出无难，然其所止，犹在本处。
4482,“谁伤害了我的子民，依法当处死。,“孰伤吾民，法当死。
4483,必定会生在于天上，,然必生天。
4484,即位九年，从未有过一次参与会盟的事。,即位九年，未尝肯一与会同之事。
4485,又，菩萨如何能知诸法无业、无报而仍修习各种善行恒不止息？”,虽知诸法无业无报，而修诸善行恒不止息？”
4486,像这样供养士兵，可说是怨恨产生于不一视同仁。,养士若此，可谓怨生于不均矣。
4487,二十六日，护建太庙。,乙未，增建太庙。
4488,感触外境称为触，产生感情称为受，渴求爱恋称为爱，取得占有称为取，由取产生欲有、色有、无色有称为有，有能产生称为生，有生就有衰老称为老，有衰老就会死亡称为死。,触境故名为触，领纳故名为受，渴爱故名为爱，取着故名为取，取复生有故名为有，能生故名生，根熟故名老，灭坏故名死。
4489,如果依此类推，杀十个人就有十重不义，必定构成十项死罪；,若以此说往，杀十人十重不义，必有十死罪矣；
4490,因为他在那个佛祖面前立下了这样大的誓言，,以是于彼佛前立斯大愿。
4491,旁边的人问他：,傍人语言：
4492,他的几个儿子耳朵后面另外刺字曰“：出门忘家为国，临阵忘死为主。”,诸子耳后别刺字曰：出门忘家为国，临阵忘死为主。
4493,达此声闻乘境界者，相当于菩萨第五、第六地，断现行烦恼而未断习气及所知障，未度不思议变易死。此等众生常自以为：,彼于自乘见所证已，于五、六地断烦恼结，不断烦恼习，住不思议死，正师子吼言：
4494,组织群体的方法得当，万物就各得其宜，六畜都能得以生长，一切生物都能得到各自的寿命。,群道当则万物皆得其宜，六畜皆得其长，群生皆得其命。
4495,第六种魔业是在菩萨处所，心生嗔恚，以恶眼看待菩萨，苛求罪衅，说菩萨的过错罪恶，断绝他所有的财利供养。,于菩萨所起嗔恚心，恶眼视之，求其罪衅，说其过恶，断彼所有财利供养，是为魔业；
4496,末利夫人，奉持斋戒，也是这样。,末利夫人奉斋持戒，亦复如是。
4497,方从哲很惊讶，拿出他所写的问安的条奏，上面有‘进献应十分谨慎的话，我等认为这样做是很对的，就传谕让李可灼离开了。,从哲愕然，出所具问安揭，有“进药十分宜慎”语。臣等深以为然，即谕之去。
4498,恶言不从自己口中说出，秽语不让它留在耳边。,恶语不出口，苟言不留耳。
4499,因此是真实的。,是故为实。
4500,二十三日，恢复奏举县令法。,乙卯，复奏举县令法。
4501,姚兴向境内和在朝的文武官员颁布告令，立名不能犯叔父姚绪和硕德的名讳，以此表示特殊的礼遇。,兴班告境内及在朝文武，立名不得犯叔父绪及硕德之名，以彰殊礼。
4502,最近以来，这项制度渐渐废止，致使县令威轻，下情不能上达。,近日以来，此制遂寝，致使神宰威轻，下情不达。
4503,逝回答帝释：,逝复报释言。
4504,犹如善调的象马，,犹如善调象马。
4505,锦又准备把述学向朝廷举荐，恰巧这时仇鸾闻述学之名，想把他请去。,锦将荐诸朝，会仇鸾闻其名欲致之，
4506,如果有人说言：,若有说言：
4507,在这个时候，越王在朝廷面朝向南方去治理国家，亲近他的臣子有三位，稍远的臣子有五位，越王命令大夫们说：‘谁听到别人批评我的过失，如果不告诉我，将受最重大的刑戮。,当是之时，君南面而立。近臣三，远臣五，令诸大夫曰：‘闻过而不以告我者，为上戮。
4508,恰逢布衣士人欧阳澈也上奏书讨论国家大事，黄潜善就以话激怒高宗，说不赶快杀陈东，将要又鼓动众人拜伏在宫阙上。,会布衣欧阳澈亦上书言事，潜善遽以语激怒高宗，言不亟诛，将复鼓众伏阙。
4509,从前在摩揭陀国都王舍城，有一位婆罗门的儿子，与母亲住在一起。,昔罗阅祇国，有婆罗门子，独与母居。
4510,九畴提出此事，于是每天供给一升，并定为法令。,九畴为言，乃日给一升，遂为令。
4511,自我禁止，自我使用，自我剥夺，自我取得，自我行动，自我停止。,自禁也，自使也，自夺也，自取也，自行也，自止也。
4512,所以疾病缠绕一个人的身体，灾害不断地侵袭一个国家，这都是上天有意爱惜我们大宋王朝，陛下应该引起注意而加以鉴戒！,故疾缠其身，灾仍于国，此亦天意爱惜我朝，陛下鉴之哉！
4513,甚么叫做一证法呢？,云何一证法。
4514,袁术死后军破，徐趚得到袁所盗的国玺，到了许昌，上交皇帝，并送交前所假汝南、东海二郡的印绶。,术死军破，璆得其盗国玺，及还许，上之，并送前所假汝南、东海二郡印绶。
4515,我得到治疗鞭伤的好方法，现在想试一试。”,我得好法，今欲试之。”
4516,像法性实际是深妙的涅槃，诸梵天等九十六种外道是不能企及的，所以深妙。,如法性实际为深涅槃，诸梵天等九十六种道所不能及故深。
4517,佛祖如来教诲告诫，要经常护持六根这一与外界接触的门户，不要被六尘所染污。,如来教诫常护根门，莫着六尘。
4518,现在因为我们想要好境界，那些怨业于是就给我们现相应的境界，令我们生欢喜心，以为自己修行功夫到家了，或者以为自己已经成道。,因彼想好境界，彼怨业遂现其境界，令彼起欢喜心，谓我修行功夫到家，或谓我已成圣道。
4519,二十九日，孝文帝下诏，将俸禄为二千石、考核成绩为上上等的官员，授予四品将军的虚衔，赐给黄马一匹；,丁亥，诏二千石考在上上者，假四品将军，赐乘黄马一匹；
4520,孔子说：“昨天你明白，是因为你以虚灵的心神先去领会；,仲尼曰：“昔之昭然也，神者先受之；
4521,元帝镇守建邺，征召卞壶为从事中郎，把选拔举荐人才的事交付给他，对他相当亲近信任。,元帝镇建邺，召为从事中郎，委以选举，甚见亲杖。
4522,则识就没有所住之处。,则识无住处。
4523,就如离缕有布一样，布就是无因，无因而有的东西，这在人世间是不存在的。,如离缕有布，布则无因，无因而有法，世间所无有。
4524,宿云请求报告辟奚，恶地说：“我们国王没有决断，不能告诉他。”,宿云请白辟奚，恶地曰：“吾王无断，不可以告。”
4525,就像从前古代暴虐的君王，不能克制他们耳目的欲望、心计的邪僻，不能顺从他们的父母，于是就丧失了国家，毁灭了社稷，不知道说“我疲弱无能，治理政务不尽力”，而一定说“我命中注定要失去它”。,昔上世暴王不忍其耳目之淫、心涂之辟，不顺其亲戚，遂以亡失国家，倾覆社稷，不知曰“我罢不肖，为政不善”，必曰“吾命固失之”。
4526,徐州士兵听到这个消息，害怕王式的势力，不知道用什么办法对付。,徐卒闻之，惧其势，无如之何。
4527,及至裴度来到行营，率幕僚在方城沱口察看修筑城墙，五沟之贼人突至，搭弓举刃，形势危及裴度性命，李光颜挺身上前率兵死战打退了敌人。,及裴度至行营，率宾从于方城沱口观板筑、五沟。贼遽至，注弩挺刃，势将及度。光颜决战于前以却之。
4528,自身沐浴着芬芳的流波，眼睛观看着国家的盛典。,身澡芳流，目玩盛事。
4529,愚笨人不明白自己的本性，不认识自己身上的净土，一心想着求生东方，求生西方；,凡愚不了自性，不识身中净土，愿东愿西；
4530,这时，长者之子见了这尊佛的美好相貌具有说不出的福慧和庄严，因此就问这尊佛道：你是做了怎样的行为，立了什么样的誓愿，才得到如此美好的相貌的？,时长者子，见佛相好千福庄严，因问彼佛作何行愿，而得此相。
4531,“体”是从“兼”中分出来的。,体，分于兼也。
4532,如果味境当不会有出要的话，这些众生之类就不得由之而出离生死的苦海的；,若当味无出要者，此众生类不得出生死之海；
4533,无锡旧有东林学院，是宋代杨时讲道的地方，顾宪成与其弟顾允成倡导修复它，常州知府欧阳东凤与无锡知县林宰为之营建。,邑故有东林书院，宋杨时讲道处也，宪成与弟允成倡修之，常州知府欧阳东凤与无锡知县林宰为之营构。
4534,出京补任盒稽内史，加授右军将军。,出补会稽内史，加右军将军。
4535,这种用人不当，足以失去人心而导致危乱发生，是第一点。,此任用匪人，足以失人心而致危乱者，一也。
4536,如果不能还债的话，我本身，以及我的妇人都愿为您的奴婢。””,设不还者，我身及妇没为奴婢。””
4537,七十岁以上的，赐给爵位二级；,七十以上赐爵二级；
4538,堡抵藉机对群僚说“宫中不宜没人”，然后站起揖别，于是众人都跑散了。,祗因谓群僚“宫中不宜空”，便起揖，于是皆走。
4539,梁梦龙、李成梁和总兵戚继光等人已经预先接受了大学士张居正的策略，合力防备抵抗，敌人才退去。,梦龙、成梁及总兵戚继光等已预受大学士张居正方略，并力备御，敌始退。
4540,不预先堵住其根源，而动辄使用刑罚，这叫做给民设下陷阱来陷害他们。,不豫塞其源，而辄绳之以刑，是谓为民设阱而陷之也。
4541,诸侯太子、庶子举行加冠礼，由国君主持，礼节仪式与列士相同。,诸侯太子、庶子冠，公为主，其礼与士同。
4542,朕很是害怕，大家尽量说来，不要隐瞒什么。”,朕甚畏之，尽情以言，勿有所隐。”
4543,祖父以撑船为业，往来于江、淮之间，因此在江都安家。,祖父业操舟，往来江、淮间，遂家江都。
4544,皇帝当即召见并任命他为右佥都御史，巡抚顺天。,立召拜右佥都御史，巡抚顺天。
4545,壕池外边岸上要害之处，若发现有可疑者，则命令往来巡夜的士兵射杀之，疏忽怠慢者斩首。,池外廉有要有害，必为疑人，令往来行夜者射之，谋其疏者。
4546,最后因病而逝，时年六十七岁。,竟以疾不起，年六十七。
4547,元军断绝危险要地，使援兵不能到达，尹谷知道州城危急，与妻子儿女诀别说“：我以清贫的儒生受到国家恩泽，典领一州，忠义不可以屈服，你们必须跟从我而已。”,大军断绝险要，援兵不至，谷知城危，与妻子诀曰：吾以寒儒受国恩，典方州，谊不可屈，若辈必当从吾已耳。
4548,大军在芹站驻扎后，在昌江上造浮桥渡军队。,师次芹站，遂造浮桥于昌江以济。
4549,世道不同了事情就有变化，事情的变化又随着时间而推移，时间的推移又会使习俗改变。,今夫世异则事变，事变则时移，时移则俗易。
4550,这是什么意思呢？,此义云何？
4551,神宗对他如此敬重。,其敬之如此。
4552,张去华上奏说“：桂管为五岭的交通要道，如今刘钅长为了保全领地顽强坚守，依赖桂管作为防卫屏障，如果大军首先攻占他的城池，奔赴番禺，犹如进入无人之境。”,去华上言：桂管为五岭冲要，令刘鋹保境固守，赖之为捍蔽，若大军先克其城，以趣番禺，如践无人之境。
4553,现在采用主张有天命的人的言论，那么上面的人就会不努力治理政务，下面的人就会不努力从事生产。,今用执有命者之言，则上不听治，下不从事。
4554,过了几天，再次提出这个意见，武攸宜火了，改任他为代理军曹。,居数日，复进计，攸宜怒，徙署军曹。
4555,国家发生大灾荒，就同大祝、男、女巫等官员一道向上上下下的天神地祇祈祷、报谢祭祀以求免灾。,大灾，及执事祷祠于上下神示。
4556,只有位郎君，在床榻上坦胸裸腹地躺着，好像什么都没听见。”,唯有郎，在东床上坦腹卧，如不闻。”
4557,阿难邠坻就把信看完，回答使者说：,阿难邠坻即读书讫竟，答使者言：
4558,历法，先王以之公布一年中斩伐与长养的时期，告知做事的适宜时间，使天下百姓不误其事务。,夫历数者，先王以宪杀生之期，而诏作事之节也，使万国之民不失其业者也。
4559,“当时这个村里有一对夫妻，家极贫穷，缺衣少食，日子过得很难。丈夫心里在想：,“时有夫妻二人，贫饿困乏，每自念言：
4560,柳州在万山之中，城外五里之处就是敌贼的巢穴，军民已到无地可耕的地步，而官军向来不能胜任战斗。,柳在万山中，城外五里即贼巢，军民至无地可田，而官军素罢不任战。
4561,节制他们的骄淫，来防止他们暴乱；,节其骄淫，以防其暴乱；
4562,此经说如来法身，应这样受持；,说如来法身如是受持。
4563,“你们心中怎样看待以上所说呢？,“于意云何？
4564,“不知道！”,“不知。”
4565,文诏在陕西时，大小几十次战斗，立功最多，承畴却没有给他记功。,文诏在陕西，大小数十战，功最多，承畴不为叙。
4566,既能永保性命，怎么会害怕祸患责罚呢？,永保性命，何畏忧责。
4567,我在以前就已经发起无上正等正觉心，但是还不知道菩萨要怎样修学菩萨道？,我已先发阿耨多罗三藐三菩提心，而未知菩萨云何学菩萨行？
4568,古代有除蝗而没能灭尽的，那只是人们没有卖力罢了。”,古有讨除不胜者，特人不用命耳。”
4569,杨偕说贼人发于昌朝部下中，不应奖赏。,杨偕言贼发昌朝部中，不当赏。
4570,次上的风轮，名为速疾普持风轮，能扶持其上方的一切香摩尼须弥云；,次上风轮名速疾普持，能持其上一切香摩尼须弥云。
4571,二十六日，河西党项、永、定等十二个州部落归附，请求设置宜、芳等十五个州，皇上同意了。,戊子，河西党项永、定等十二州部落内属，请置宜、芳等十五州，许之。
4572,羊孚三十一岁上死了，桓玄给羊欣写信说：“贤堂兄是我感情上的寄托，暴病身亡。,羊孚年三十一卒，桓玄与羊欣书曰：“贤从情所信寄，暴疾而殒。
4573,豪杰既断绝了争夺的念头，士民也定心安分守己，尊贵有常，奉天子为尊。,豪杰之心既绝，士民之志已定，贵有常家，尊在一人。
4574,这天，世尊从早上时便从他的脸上放出种种光芒，五颜六色，黄青赤白，有如玻璃玛瑙的宝光，遍照此三千大千世界，乃至十方世界也都充满了光明。,尔时世尊，于晨朝时从其面门放种种光，其明杂色，黄青赤白颇梨玛瑙光，遍照此三千大千佛之世界，乃至十方亦复如是。
4575,三是别人有急难时，他在人面前愁苦表示关心，背地里高兴欢喜；,三者有急时，于人前愁苦，背后欢喜；
4576,另外封一都邑给下发师，,别封一邑与下发师。
4577,一句话说得不在理，下贱无知的人，也能体察得到。,片言违正，则𪽈台解情。
4578,武昌平定，他被授为雄武卫指挥使。,武昌平，授雄武卫指挥使。
4579,用鲫鱼，整只地用；,用鲫鱼，浑用；
4580,到了十二月底正月初，就把粪用车拉去上地。,至十二月正月之间，即载粪粪地。
4581,玄龄治家有法度，常常担心诸子骄奢淫侈，凭借势位欺凌旁人，因而汇集古今圣贤家戒，书写于屏风之上，命其子各取一具，对他们说：“留意于此，就能保其身了！,治家有法度，常恐诸子骄侈，席势凌人，乃集古今家诫，书为屏风，令各取一具，曰：“留意于此，足以保躬矣！
4582,第十四，心志专一于生命的源起及未来，将会引起忆念；,十四者，一心，生念；
4583,日、月在天，阳燧、方诸在地，它们相距非常遥远，然其阴阳、水火之气却能相互感通；更何况人服食金丹，金丹入于体内，近存于身、切近于心胸，其感化妙应，岂能没有效验！故阴阳相感通，非远近所能隔绝。,二气玄且远，感化尚相通；
4584,把生看成是飘浮的水泡，把死看成是疲劳后的休息；,其生若浮，其死若休；
4585,恳切希望陛下果断处理，尽快拘捕，依法毁灭他的家庭。”,诚愿陛下断之，不日即收捕，准法破家。”
4586,那时，世尊告诉阿难说：,世尊告阿难曰。
4587,二十日，岳飞派遣统制张宪在颍昌府出击金将韩常，打败韩常，收复颍昌。,壬辰，岳飞遣统制张宪击金将韩常于颍昌府，败之，复颍昌。
4588,四月八日，张献忠在谷城假装投降，熊文灿受降。,夏四月辛丑，张献忠伪降于谷城，熊文灿受之。
4589,事情败露之后，那商贩既没得到金子，又失去了棉花。,情事既露，二事俱失。
4590,然而天下非议“兼”的言论还没有停止，他们会说：或许这样不符合双亲的利益，因而有害于孝之道吧？,然而天下之非兼者之言，犹未止曰：意不忠亲之利，而害为孝乎？
4591,须菩提，假设修菩萨道的菩萨，他要著住到有为法上而行布施，就是著相的布施。,须菩提，若菩萨心住于法而行布施，如人入暗，即无所见。
4592,使他了知亲近善知识能证得速疾成佛的力量，普遍到达诸佛刹土；,令知亲近善知识，能得速疾力普诣诸刹；
4593,要齐于几戏调，而在于灭呢？佛陀告诉帝释说。,齐几调在灭迹耶佛告帝释。
4594,不久，又返回镇守北平。,已，复还镇。
4595,而饿鬼们则会趁他食五辛的时机，都来舔他的嘴唇，,诸饿鬼等，因彼食次，舐其唇吻。
4596,苻坚笑着说：“这是朕的过失。”,坚笑曰：“朕之过也。”
4597,害也以根本烦恼瞋的一部分为其本体，因为离开瞋没有另外的害之特性和作用。瞋与害的区别，以善为准则而说。,此亦瞋恚一分为体，离瞋无别害相用故，瞋害别相准善应说。
4598,太宗夜间派遣使者到两将军处，士及开门接纳使者，志玄拒绝说“：军门不可夜开。”,太宗夜遣使至二将军所，士及披户内使，志玄拒曰：“军门不夜开。”
4599,乘白马是乘马。,乘白马，乘马也。
4600,武阳南安焚道资中牛鞟汶山郡汉设置。,武阳南安僰道资中牛鞞汶山郡汉置。
4601,腾蛟当时驻军衡州，听说这些后非常吃惊。,腾蛟时驻衡州，大骇。
4602,不可与共适大道的，是不知其中的道理，那就不必与他交往，自身才没有灾祸。,不可与往者，不知其道，愼勿与之，身乃无咎。
4603,即使有天下最好吃的美味，不亲自咀嚼也不会知道它的美味；,虽有天下之至味，弗嚼弗知其旨也；
4604,神通进兵逼近其城，贝州刺史赵君德率先扳堞登城，神通妒忌其功，因而止军不进。,神通进兵薄其垒，贝州刺史赵君德先登扳堞，神通忌其功，止军不进。
4605,京房《易传》说：‘河水清，天下平。,京房易传曰：“河水清，天下平。”
4606,拉车的六匹马分散乱跑，一定是在四通八达的交叉路口；,六马之乖离，必于四达之交衢；
4607,我因为昨天饥饿难耐，一气之下杀了修迦罗，,吾因昨日为饥火所逼，瞋恚心故杀修迦罗。
4608,十六日，大赦。,壬午，大赦。
4609,上唇要方，下唇要厚而多皱。,上唇欲得方，下唇欲得厚而多理。
4610,不自心骄馒，不会以少得为满足，因而能增益智慧，,破坏慢，增益智故。
4611,有许多人无论在家或者出家修行菩萨道的人，如果不能见到、听闻、读诵、书写、受持、供养这部《法华经》，你应当知道，这些人并未圆满地修习菩萨道。,多有人在家出家行菩萨道，若不能得见闻、读诵、书持、供养是《法华经》者，当知是人未善行菩萨道。
4612,周德兴的功绩已达到鼎盛，又倚恃是太祖的同乡人，所以他的官邸都超出了规格，有关部门罗列他的罪状上告，太祖诏告宽宥了他。,德兴功既盛，且恃帝故人，营第宅逾制。有司列其罪，诏特宥之。
4613,唐胄上疏规劝说：“今日之事，若只想他献贡，那么兵不必用，官也不用遣。,胄上疏谏曰：今日之事，若欲其修贡而已，兵不必用，官亦无容遣。
4614,修习三禅，完全息灭众生的痛苦热恼。,修第三禅，悉能息灭一切众生众苦热恼；
4615,陶侃明白其中有诈，先在封口发动了石车。,侃知其诈，先于封口起发石车。
4616,不应当在同一事物中，存在有相和无相。,不应于一法，而有有无相。
4617,世代为太行山以南的豪族，在长江以东当官。,世为山南豪族，仕于江左。
4618,菩萨作这样的想法：,菩萨作是念：
4619,对于内外身身观，而精勤不懈，而忆念不忘，以期舍弃对于世间的贪忧。,内外身身观，精勤不懈，忆念不忘，舍世贪忧。
4620,火太大就会有焦糊气。,火急则焦气。
4621,既然是自类不能熏习，怎么能认为前念有后念的种子呢？,谓彼自类既无熏习，如何可执前为后种？
4622,其部落中的张侯、夏永与夷獠的梁崇牵、覃问及西原的尊长吴功曹再度合兵侵扰内地，攻陷道州，盘踞了五十多天。,其种落张侯、夏永与夷獠梁崇牵、覃问及西原酋长吴功曹复合兵内寇，陷道州，据城五十余日。
4623,那时的恶猕猴王，就是提婆达多的前身。,尔时恶猕猴者，提婆达多是。
4624,因为身一清净，身体就能轻安便利；,身清净故，身轻利；
4625,王忳把绣被和马交还了主人。,忳悉以被马还之，
