白话文,文言文,文言文_较差
吕颐浩问席益去掉秦桧的办法，席益说：“把他们看作朋党。,颐浩问去桧之术于席益，益曰：目为党可也。,颐浩问席益怎么去除桧，席益说：算作党就可以了。
谢邈当初娶妾，郗氏很怨怒，给谢邈写信断绝关系。,邈先娶妾，郗氏怨怼，与邈书告绝。,邈先娶一妾，郗氏很生气，写信给邈要断绝关系。
梁丘据回答说：‘哭的人是鲁国孔子的弟子，他的母亲死了，他在服三年之丧，哭得很悲伤。,对曰：‘鲁孔子之徒也。其母死，服丧三年，哭泣甚哀。,对曰：鲁的孔子徒弟。他妈妈死了，穿着丧服三年，哭得很伤心。
此后，民众遵循他的教令，也足有一百年。,民用其教，百年而移。,民用了教，一百年才变。
因此能成就如来的十力、四无畏。,成就如来十力、无畏，勇猛自在，,成办如来十力、无畏，勇猛自由，
太祖非常高兴，命他与宋濂同在史馆任职，濂待他以兄。,太祖甚悦，命与宋濂同职史馆，濂兄事之。,太祖很高兴，叫他跟宋濂一起在史馆做事，宋濂像哥哥一样对他。
我祖神威，天命起兵，消灭群顽，平定四方。,烈烈我祖，膺期而昌，铲灭群凶，砥平四方。,我祖烈烈，遇时而兴，灭群凶，平四方。
二十二日，免除陕西州军旱灾地区租税。,辛未，蠲陕西州军旱灾租赋。,辛未，陕西州军旱灾，免租赋。
以美妙的音声，演说一切众生前生前世所行的广大善根；演说三世一切诸佛的名号；演说诸菩萨所修的愿行与究竟之道；演说诸佛如来转妙法轮的种种言辞说法。当时，这座大林示现了如上等等的庄严妙相，显示佛陀如来经常出现于世界。,复出妙音，说一切众生前世所行广大善根，说三世一切诸佛名号，说诸菩萨所修愿行究竟之道，说诸如来转妙法轮种种言辞，现如是等庄严之相，显示如来常出于世。,复出妙音，说众生前世所做善事，说过去现在未来佛名号，说菩萨修行愿行之事，说佛说法种种言语，现如此庄严，显佛常在世。
十六岁精气畅通，然后才能生育。,十有六而精通，然后能化。,十六岁就精通了，然后才能变化。
而你现在却反而啼哭起来，惊动了小女，难道想要孩儿不能再重生吗？”,而汝今反啼哭。以惊动之。将令此儿不复得生耶。,而你现在反而哭哭啼啼。吓到他。这孩子就不能活了吗。
要谨慎开端，又要坚持到底。,有其始而成其终。,有开始的，完成最后的。
从前接受置的封国，天下都知道，谦虚逊让，到现在已经四十年了。,往受晋禅，天下所知，谦冲逊让，四十年于兹矣。,昔受晋禅，天下皆知，谦让四十年矣，此处语焉不详。
于是侵犯掠夺岭北，岭北的各个城门白天不敢打开。,于是侵掠岭北，岭北诸城门不昼启。,于是侵掠岭北，岭北那些城门都不白天开。
或者又转生于家家，或者为一种，犹如黄蓝之花，朝取而暮长那样。,或复家家、一种，犹如黄蓝之花朝取暮长。,或家家种，如黄蓝花，朝取暮又长。
近来常因一点小事，就罚为兵役，一点小的过失，责罚连累几代人，就连旁支的亲戚也遭株连，国家人口减少，也是因为这个缘故。,顷者小事，便从补役，一愆之违，辱及累世，亲戚傍支，罹其祸毒，户口减秏，亦由于此。,近来小事，便要补役，一旦犯错，辱及几代，亲戚旁支，遭其祸害，人口减少，也是因为这个。
如果让天下人都彼此相爱，爱别人就像爱自己，还会有不孝顺的人吗？,若使天下兼相爱，爱人若爱其身，犹有不孝者乎？,若天下人都相互爱，爱别人像爱自己，还有不孝的人吗？
张栻，字敬夫，丞相张浚的儿子。,张栻字敬夫，丞相浚子也。,张栻，字敬夫，是丞相张浚的儿子。
熊克去世时七十三岁。,卒，年七十三。,死，七十三年老。
妙音师子幢干闼婆王，证得了普散十方一切大名称宝解脱门。这是能令大众听闻佛陀的广大妙法，破除众生极其深重坚固之愚痴障碍的解脱法门。,妙音师子幢干闼婆王，得普散十方一切大名称宝解脱门；,妙音师子幢干闼婆王，得普散十方一切大名号宝解脱门。
二王是王孝伯的两个弟弟。,二王是孝伯两弟。,二王，孝伯两个弟弟。
因为他们交替当君主，交替离开君位，这才传到您这里；可是只有您为此而流泪，这是不仁德的。,以其迭处之，迭去之，至于君也；而独为之流涕，是不仁也。,以其轮流处之，轮流去之，到君这里；而独自为他流涕，这是不仁。
回答是无处可逃。,曰无所避逃之。,无处可逃避之。
颉利派欲谷设率十万骑兵征讨，菩萨自带五千骑兵在马鬣山打败了他们，直追至天山，俘获了大批人马，威震北方。,颉利遣欲谷设领骑十万讨之，菩萨身将五千骑破之马鬣山，追北至天山，大俘其部人，声震北方。,颉利派欲谷设带骑兵十万去讨伐，菩萨带五千骑兵在马鬣山打败他们，追到天山，俘虏很多部人，北方都震动了。
应当知晓，烦恼概略分为三种：,当知烦恼略有三种：,当晓烦恼大体三种：
马援率领四千余人攻击他们，到了氐道县，羌在山上，马援军占据有利地形，夺了羌军的水草，不与他们交战，羌军就穷困了，富豪们率领数十万户逃出塞外，诸族万余人全部投降，于是陇右就清静了。,援将四千余人击之，至氐道县，羌在山上，援军据便地，夺其水草，不与战，羌遂穷困，豪帅数十万户亡出塞，诸种万余人悉降，于是陇右清静。,援带四千多人去打他们，到了氐道县，羌人在山上，援军占了方便的地，抢了他们的水和草，不跟他们打交。羌人就困住了，几十万户的大头跑了出去塞外，其他的人全投降了。于是陇右那边清静了。
所以，尽管《夏书》记载说禹时有七年水灾，《商书》记载说汤时有五年旱灾，这说明他们遭到的饥荒严重极了，但人民却没有受冻挨饿的，什么原因呢？,故《夏书》曰：“禹七年水”；《殷书》曰：“汤五年旱”。此其离凶饿甚矣，然而民不冻饿者，何也？,故《夏书》曰：“禹七年治水”；《殷书》曰：“汤五年大旱”。此其凶饿情况非常严重，然而百姓未冻饿，为啥？
巫马子对墨子说：“你奉行道义，却没有看到有人帮助你，也没有看到鬼神降福给你，而你这样做，恐怕是有疯病吧！”墨子说：“现在假如你有两个臣子，有一个人看到你就做事，不看到你就不做事；,巫马子谓子墨子曰：“子之为义也，人不见而耶，鬼而不见而富，而子为之，有狂疾！”子墨子曰：“今使子有二臣于此，其一人者见子从事，不见子则不从事；,巫马子謂子墨子曰：“你做義事，人看不到就歇，鬼也看不到就不富，你還做，有病！”子墨子曰：“如今你有兩個臣子，一個見你做事就做，不見你就不做；
天帝化作伊利沙的身体，学着他的话，乘着他的车返回，吩咐门外的佣人：,天帝化作四姓身体、语言，乘车来还，敕外人：,天帝变作四姓身子、说话，坐车回来，叫外面的人：
明器这类用具，一律用瓦。,明器之具，皆令用瓦。,明器的东西，都叫人用瓦的。
赖咤和罗说：人自知当死，能带着珍宝财物而去吗？,赖咤和罗言。人自知当死。何以故。不豫持珍宝着当所生处。,赖咤和罗言，人自己知道要死，为啥呢？不先拿宝贝放到应该出生的地方。
其父铁仲名，年已八十三，其母薛氏，一起被安置于海南。,父仲名，年八十三，母薛，并安置海南。,父名仲，八十三岁，母薛，并安置海南。
其次，再进而除弃此觉与观，内信而欢喜，敛心于专一，而为无觉无观，由于定而生的喜与乐，而行第二禅。,除灭觉、观，内信欢悦，捡心专一，无觉、无观，定生喜、乐，行第二禅；,除去觉、观，内心信服欢喜，收心专心，无觉无观，定中生喜乐，行第二禅。
阿难，如果身识从身体产生，就不会有触摸的有和无，但是没有触摸，那么身识去认识什么呢？,阿难，若因身生，必无合离二觉观缘，身何所识？,阿难，如果因为身产生，必定没有合离两种感觉，身能知啥？
流传的时间一长，那么就越简略；近代的事情，谈起来才详尽。简略的，就只能列举它的大概；详尽的，才能列举它的细节。,夫传者久则愈略，近则愈详，略则举大，详则举细。,夫传者，久则略，近则详，略则大，详则细。
如果能够循着道理来解释利害，居心方正以从义理，那就是君子的度量了。,诚能释利以循道，居方以从义，君子之燍也。,若能捨利循道，守方從義，乃君子之光也。
妳们对于此义，应当如实的观察：,汝于此义当如实观察：,汝在此理应当粗略看观：
击梁郡、济阴都平定了。,击梁郡、济阴，皆平之。,打梁郡、济阴，都平了。
陇观年纪老了以后，由他儿子陇贵荣承袭职务。,观老，子贵荣袭。,"观老，子贵荣袭。改为：

看老，儿子富贵继承。"
又有五种布施，就能使其有大福报的。,复有五施令得大福。,又有五种施舍叫人大福。
臣前些时在荆州，听说杨厚、贺纯等人因病免职归田，替他们十分惋惜。,臣前在荆州，闻厚、纯等以病免归，诚以怅然，为时惜之。,臣从前在荆州，听闻厚、纯等人因病免官回家，心里很不痛快，为时代感到可惜。
鱼壁对儿子包遵说：“国家没有为子孙的谋划，仅仅考虑自身，后代将会有危险！,何曾谓子遵曰：“国家无贻厥之谋，及身而已，后嗣其殆乎！,何曾对子遵说：“国家没啥长远打算，只顾眼前，后代恐怕要完蛋了吧！”
议论这件事的人认为王塞年老行为荒谬，所以被世人讥讽，也因此被免官。,论者以为暮年谬妄，由是获讥于世，复坐免官。,议论的人认为他晚年糊涂乱来，因此被世人讥笑，又因此丢了官。
现在皇上的继承人没有立，天下的人都在企立以望，皇上却不想国家的大计，专门搞微行的事，被女色所迷惑，把心用在非正经的事上。,今陛下圣嗣未立，天下属望，而不惟社稷之计，专念微行之事，爱幸用于所惑，曲意留于非正。,今陛下还未立圣嗣，天下人都在看着，却不考虑国家大事，只想着微服私访的事情，对所喜欢的人偏爱有加，曲意留用不正之人。
如今襄阳既然已归入北朝，微臣如果仍然陪侍陛下，若有仕进则微不足道，若有过失则对不起先辈心意。,今襄阳既入北朝，臣若陪随銮跸，进则无益尘露，退则有亏先旨。,今襄阳已归北朝，我若随皇帝队伍，去也没啥大用，留则对不起先帝意思。
晏子坐到座位上，歌手一连唱了三遍，然后晏子才明白这是说的自己。,晏子入坐，乐人三奏，然后知其谓己也。,晏子坐下，乐人弹了三首曲子，后来才知道是在说自己。
你说也痛也不痛怎么讲？,汝言亦痛亦不痛如何？,汝说亦痛亦不痛，如何理解？
存有些微我相以觉知其余我相的断除，就不是真的净心。存在的我与觉知的我之间也是同样的道理。,存我觉我，亦复如是。,存我觉我，也是一样。
至元中年，朝廷将茶罕章宣慰司改设为丽江路军民总管府，后来又改为宣抚司。,至元中，改置丽江路军民总管府，后改宣抚司。,至元年间，改置了丽江路军民总管府，后来又改成了宣抚司。
为了使众生安住广大布施心；,为令一切众生住广大施心故；,为使一切众生住在大施心故。
所以一定要撞击大钟，敲打响鼓，吹奏笙竽，弹奏琴瑟来满足他的耳朵，一定要在各种器物上雕刻图案，在衣服上绣上各种花纹来满足他的眼睛，一定要用肉食、细粮和芬芳的五味来满足他的嘴巴，然后增加仆人，完备官职，加重奖赏，严厉刑罚来警戒人心。,故必将撞大钟、击鸣鼓、吹笙竽、弹琴瑟以塞其耳，必将雕琢、刻镂、黼黻、文章以塞其目，必将刍豢稻粱、五味芬芳以塞其口，然后众人徒、备官职、渐庆赏、严刑罚以戒其心。,故必撞大钟、击鼓、吹笙竽、弹琴瑟以塞耳，必雕琢、刻镂、黼黻、文章以塞目，必刍豢稻粱、五味芬芳以塞口，然后众人徒、备官职、渐赏庆、严刑罚以戒心。
慧眼证见诸法真空之理，能度入彼岸世界；,慧眼见真，能度彼岸；,慧眼见真，能够到彼岸；
群臣认为龚壮的话有道理，叩着头流着泪谏阻，李矗才作罢，士兵徒众都欢呼万岁。,群臣以壮之言为然，叩头泣谏，寿乃止，士众咸称万岁。,群臣觉得壮的话是对的，磕头哭着劝，寿才停了，大家伙都说万岁。
满座的人没有位回答，长史江虨说：“希望您做齐桓公、晋文公那样的事业，不希望您成为汉高祖、魏武帝那种人。”,坐莫答，长史江虨曰：“愿明公为桓、文之事，不愿作汉高、魏武也。”,坐莫答，那长史江虨讲：“希望您做像桓、文那样的事，不要做汉高、魏武那种的。”
落入这鱼腹中，不可能保住性命。,入此鱼腹，无复活理。,入此鱼肚，没得活路了。
认识了自性的人，立佛法也可以得，不立佛法也可以得，来去自在自由，没有阻碍，应该用时随手便作，该说时随口便说，处处显现佛的化身，不离开自有佛性，就能得到自在神通，证得三昧，这就叫做见性。,见性之人，立亦得，不立亦得，去来自由，无滞无碍，应用随作，应语随答，普见化。不离自性，即得自在神通，游戏三昧，是名见性。,见性之人，立也行，不立也行，来去自由，没阻碍，用啥做啥，问啥答啥，普度众生。不离自性，就得到自在神通，游戏三昧，叫作见性。
二十二日，禁止以财富冒充士族娶宗室女儿。,乙亥，禁以财冒士族娶宗室女者。,乙亥日，禁止用钱冒充士族娶宗室女。
而且陈轸打算离开秦国到楚国去，大王您为什么不注意观察呢？”,且轸欲去秦而之楚，王何不听乎？”,且轸想离开秦国去楚国，王为啥不听呢？
五月初六，设宴紫宸殿，开始用乐。,五月辛未，宴紫宸殿，初用乐。,五月辛未，紫宸殿宴，第一次用乐。
萧炅任京兆尹时，推荐圆为会昌丞，多次升为司勋员外郎。,萧炅为京兆尹，荐为会昌丞，累迁司勋员外郎。,萧炅做京兆尹，推荐他当会昌丞，后来又升官做司勋员外郎。
孔周便归还了来丹的妻子儿女，和他一同斋戒了七天。,孔周乃归其妻子，与斋七日。,孔周回去找他老婆孩子，然后斋戒七日。
有人说：“向神祈祷请求的人，用精诚来迎应神明，神明自然就会有所感应。,或曰：“祈请者，诚以接神，自然应也。,或人说道：“祈请的，是诚心来接神，自然就会应验的。”
张婴听了，哭了起来，说“：边远愚人，不能与朝廷通声气，不堪官吏的压迫欺侮，不得已，就大家集合一起，苟且偷生，好像鱼游釜中，暂时喘口气罢了。,婴闻，泣下，曰：“荒裔愚人，不能自通朝廷，不堪侵枉，遂复相聚偷生，若鱼游釜中，喘息须臾闲耳。,婴闻此言，泪下，曰：「边鄙无知之人，不能与朝廷沟通，受不了欺压，就聚在一起苟活，就像鱼在锅里游，呼吸之间就要死了。」
五童渡辽后，也暂把旦业置于徐，并非原所在地。,元帝渡江，亦侨置司州于徐，非本所也。,元帝过江，也在徐州随便设了个司州，不是原来的地方。
此刻急于平贼乱，就送给了克用。,欲急平贼，故予之。,欲快平贼，故给之。
君子要保有国家，安定民众，不能只凭战争，使士人和民众疲困并遭到残杀。,君子守国安民，非特斗兵，罢杀士众而已。,君子保国爱民，不是只靠打仗，杀伤士卒而已。
一切事物本来都有它是的地方，一切事物本来都有它可的地方。,物固有所然，物固有所可。,物本来有它这样子，物本来也可以这样。
只有神会，神色不变，也不哭泣悲伤。,惟有神会，神情不动，亦无涕泣。,只有神会，神情不动，也没有眼泪。
武官就看他能否完成任务，不要以年龄为断限；,武吏察其任事与否，勿断以年；,武官看他是能不能办事，不要只看年纪；
翟鹏到达后，尽数清查占役现象，使边兵更番轮值。,鹏至，尽清占役，使得迭更。,鹏来了，全部清水占了活，让它们轮流改。
生刑太轻，所以罪罚无法禁止犯法。,生刑轻，故罪不禁奸。,生刑轻，所以罪犯不停。奸邪之事，依旧不禁。
石勒在平阳小城攻打靳准，平阳大尹周置等率六千杂户向石勒投降。,勒攻准于平阳小城，平阳大尹周置等率杂户六千降于勒。,勒攻打平阳的小城，平阳大尹周置等人带着六千杂户投降给勒。
廷臣说刘球的奏请，只有选择太常官这一条应该听从。,言球所奏，惟择太常官宜从，,言球奏章，只选太常官应该听从。
冬十月，在白水举行大规模阅兵，又西赴岐阳围猎。,冬十月大阅于白水，遂西狩岐阳。,冬十月，在白水搞了个大阅兵，然后往西跑到岐阳打猎去了。
“我不敢愁怖的。”,“不敢愁怖。”,不 敢 愁 怖矣。
凡有调发争战，各部会合；,凡调发攻战，则诸部毕会；,凡调动打仗，则各部都来；
慕容𪠳派慕容评等人率领本族舆外族四十余万精锐士卒抵御。,使慕容评等率中外精卒四十余万距之。,令慕容评等人带中外精兵四十多万去挡他们。
对于诸法并没有疑惑，而度人为无限的人，就是所谓毗摩达比丘尼是。,诸法无疑，度人无限，所谓毘摩达比丘尼是。,诸法没疑问，度人无数，说是毘摩达比丘尼。
《诗》不是说过吗‘：没有不对答的话，没有不报答的德。,诗不云乎：‘无言不雠，无德不报。,诗不是说：无言不雠啊，无德不报吗。
子路见到夏亩，愤怒而慷慨。,子路见夏南，愤恚而忼忾。,子路见到夏南，很生气，忼忾。
至于像张良见到的给他书的老人，也可以说是一怪了。,至如留侯所见老父予书，亦可怪矣。,至于留侯见个老头给书，也奇怪得很。
他与刘健、李东阳一同辅政，而谢迁处事敏捷，善于提出主张。,与刘健、李东阳同辅政，而迁见事明敏，善持论。,与刘健、李东阳一同辅政，但迁见事明敏，善持论。
八，能除颠倒的清净悲心，因为他能如实地宣说法门；,能除颠倒清净悲，说如实法故；,能去颠倒清净悲，说实法故；
有四万亿那由他百千众生，原先并未发心成就无上佛果，听佛说此法门之后，才开始发心念佛往生之道，由此广行善事，积功累德，培植善根，发愿往生西方极乐净土，亲见阿弥陀佛。,四万亿那由他百千众生，于无上菩提未曾发意，今始初发，种诸善根愿生极乐，见阿弥陀佛。,四万亿那由他百千个众生，从前没想过成无上菩提，现在才开始发心，种点善根，想生到极乐世界，见阿弥陀佛。
那时，世尊说此语之后，便从其座位站起而去。,尔时，世尊说斯语已，便从坐起而去。,那个时候，佛说了这些话，就从座位上起来走了。
那么像这样布施的福利，最是不可思议，,如是福利，最不思议。,如是福气，最不可思議。
朱谦率兵抵御，驻扎关子口。,谦率兵御之，次关子口。,谦带兵去抵挡，到了关子口那地方。
乌岭绵延七十里，悬崖峭壁只有一条路可通，倭寇凭借天险，负隅顽抗。,岭亘七十里，峭壁通一线，倭拒险。,岭七十里长，峭壁只有一线宽，倭寇在那险要的地方抵抗。
舍利弗说：,舍利弗言：,舍利弗说：
十九日，下诏告诫王似、卢法原、吴玠，要通力合作。,己巳，诏谕王似、卢法原、吴玠，使之协和。,己巳，下命令叫王似、卢法原、吴玠他们，让他们合作一下。
什么叫无所得？,何谓无所得？,何为无所得也？
待临命终时，色身散坏，神识转变迁化，受业力牵引而入于坏缘，随因缘生灭而心心相续，生苦生恼。惟受最后一念染缘，深染深着，心心念念不能舍离，是则名为坏苦。,身散坏，转变化，识入坏缘，缘集散，心苦心恼，受念后缘染着，心心不舍，是为坏苦。,身坏散，变化转，识入坏缘里，缘集又散，心苦心恼，受念染着后缘，心不舍，这是坏苦。
每隔三十步建起一座候望楼，楼高出城堞四尺，宽三尺，长四尺，三面围上木板，涂上厚厚的泥层，夏天时顶部加盖以蔽日。,三十步置坐候楼，楼出于堞四尺，广三尺，广四尺，板周三面，密傅之，夏盖其上。,三十步一个哨楼，楼高出女墙四尺，宽三尺四尺，三面围板，密密排好，夏天在上面加个盖。
击败苻坚，虽然胜利从刘牢之开始，但最后由谢玄、谢琰完成，然而当时谢石实是都督。,坚之败也，虽功始牢之，而成于玄、琰，然石时实为都督焉。,坚败，虽功劳始自牢之，而成于玄、琰，然石时实为都督也。
先是，左雄推荐周举为尚书，周举干得很好，大家都称赞左雄。,初，雄荐周举为尚书，举既称职，议者咸称焉。,初，雄荐周举作尚书，举做得好，大家说好。
车轭长一丈多。,轭长丈余。,轭长一丈多点。
心体精见微县现于前，纯然只是智慧，这叫慧心住。,心精现前，纯以智慧，名慧心住。,心精出来，全靠智慧，叫慧心住。
我周嘉请以一死赎了长官的命。”,嘉请以死赎君命。”,嘉以死换君命。
初四，礼部尚书苏轼说：“高丽使臣请求购买历代史和《策府元龟》等书，应予以拒绝他的请求。”,辛亥，礼部尚书苏轼言：高丽使乞买历代史及《策府元龟》等书，宜却其请不许。,辛亥，礼部尚书苏轼说：高丽使要买历代史和《策府元龟》这些书，应该不卖给他们。
“你们应当相信和了解如来，他的一言一语都是实实在在的真谙。”,“汝等当信解如来诚谙之语。”,汝等应该信解如来真正明白的话。
‘进入此中的人，并没有人能够得出，你现在必定死在这里。,‘入此中者，无有得出，汝今于此而死。,进去这里的人，没有一个能出来的，你现在进来了就要死在这里。
现在将军拥有百万之众，西向帝京长安，而无称号，叫做群贼，这是不能持久的。,今将军拥百万之觽，西向帝城，而无称号，名为髃贼，不可以久。,如今将军带百万兵众，往西对着帝城，却没有个名号，只是叫个贼众，这样不行的，不能长久。
卫玠从豫章来到下都建康，人们久闻他貌美之名，前来观看的人像堵围墙。,卫玠从豫章至下都，人久闻其名，观者如堵墙。,卫玠从豫章到下都，人很久闻他名，观者像堵墙。
随着其正定心，而修七菩提分之一。,随三昧心修念觉意。,修念觉意，随三昧心。
慕容𪠳、慕容评都不把他们视为忧患。,评不以为虞。,评不觉得担心。
华恒认为漠献帝在许住，就在许郊祭，应当在本地行郊祭。,恒议，汉献帝居许，即便郊柴，宜于此修立。,恒议汉献帝居许就算郊柴，应该在这里修立。
“并不是昙摩留支这么久才来到这里之故，我才会说如是之义的。”,“非为昙摩留支久来此间，故我言此义。,如果不是昙摩留支早就来这裡，所以我这样说。
他的眼睛像河一样深邃而平直，额头高高突起，这是黄帝的相貌。,河目而隆颡，黄帝之形貌也；,河目隆颡，像黄帝样子。
遇上赵志皋在九月去世，于是沈一贯屡次奏请增添内阁大臣。,会志皋于九月卒，一贯遂当国。初，志皋病久，一贯屡请增阁臣。,会志皋九月死，一贯就当国了。开始志皋病了很久，一贯多次请增加阁臣。
今死罪亡命的大概有万人，又自赦以来，捕得罪犯甚多，而诏令没有涉及，都应重罪论处。,今死罪亡命无虑万人，又自赦以来，捕得甚觽，而诏令不及，皆当重论。,现今死罪逃犯大约万人，自从赦免以后，捕了很多，但诏令没来得及传达，都要重判。
如把他的部族分散隶属各州，则其势分兵弱了。”,愿析其族隶诸州，势分易弱也。”,愿分其家族给人家州，势分开就弱了。
崇恩偏授，容易造成私溺的弊病，以至公让大家蒙受恩泽，必能广招天下的贤才，想起来难道不是这样的吗？,夫崇恩偏授，易启私溺之失，至公均被，必广招贤之路，意者不其然乎！,夫恩惠偏给，易生私心之失，至公平均，必招贤才之路，岂不如此乎！
这是趟王司马伦篡位逆乱的征兆。,殆赵王伦篡乱之象也。,大概是赵王伦篡位乱政的迹象也。
如今夫子也辅佐我治理齐国，也想赐给先生您三处家产，恩泽延续到子孙，难道不可以吗？”,今夫子亦相寡人，欲为夫子三归，泽至子孙，岂不可哉？”,如今先生也帮寡人办事，想给先生三个府邸，恩泽传到子孙，难道不可以吗？
点灯子逃跑了，不久又被抓住，杀掉了。,点灯子遁，寻被获，伏诛。,点灯子跑，后来被抓，被杀。
最好诏令各地根据情况留下所需之种子，到时贷给百姓。,宜诏在所裁留经用，以种贷民。,宜下诏叫地方随便留点种子借给百姓，用用。
而魏忠贤的党徒李蕃、崔呈秀、徐大化接连上疏诋毁孙承宗，竟把他比作王敦、李怀光。,而其党李蕃、崔呈秀、徐大化连疏诋之，至比之王敦、李怀光。,而他那帮人李蕃、崔呈秀、徐大化一起写奏章骂他，甚至把他比作王敦、李怀光这麼坏的人。
秋七月一日，因为皇子满月，大赦天下，赐群臣大宴三天。,秋七月丁亥朔，以东宫诞育满月，大赦天下，赐酺三日。,秋七月丁亥初一，因东宫小孩满月，全国大赦，赐吃喝玩乐三天。
所食诸稻麦，精妙味渐减，饭食无滋味，不能增体力；,众生所食，精妙上味，渐渐损减，食无肥肤。,众人吃的，好味道慢慢减少，吃没有肥肉。
又有能力为他人解说者。,何况闻已随说行者。,何况听到就随便说做。
如来含藏的真如真实是远离因缘造作的相状的，因为如来藏是恒常存在不会变迁的。,如来藏者离有为相，如来藏常住不变。,如来藏离有为相，如来藏常住不变的。
陈憎失败后逃走，他们便俘获了陈昺及其同党陈璲等人。,皓败走，获昺及其党陈璲等。,皓跑了，抓到昺还有他那帮人陈璲他们。
内外都经过涂新整治，,内外涂治。,内外都涂上治疗的药。
无法用止法来遏止，就应该马上转用观法。,用止不去即当反观。,用止不去，就当反观一下。
朕不能遏制防止他们，以至于流亡在外。,朕不能式遏杜渐，以致播越。,朕不能阻止，以至于让事情恶化，导致流离失所。
末那识在没有达到转依位的时候，永恒思虑量度所执的我相。达到转依位以后，永恒思虑无我之相。,未转依位恒审思量所执我相，已转依位亦审思量无我相故。,未转依位时恒常思考执著我相，已转依位也仔细思考无我相。
不乱结交朋友，不与他志同道合的，即使是权贵来访，也不相见。,性不妄交，非其同志，虽贵游造门，亦不与相见。,性格不乱交朋友，不是一路人，就算贵人来拜访，也不见。
又诛杀了不遵守法令的豪门大族几十家。,又诛豪右不奉法度者数十家。,又杀掉几十家不守规矩的豪右。
陛下真要如此，我们惟有一死，不敢奉命。”,陛下诚实尔者，臣等有死而已，未敢奉诏。”,陛下你要是真这么认为，我们只有死路一条，不敢接受这个命令。
应当自己警策身体行为勿使放纵，内部与心念不断斗争坚持佛法；,当自餙身，内与心争；,当自看身，内心相争；
诸比丘们！,“诸比丘！,诸比丘们，听着！
我希望陛下能善始慎终，身居于高大舒适的宫殿时，能想到东北皇陵中先帝魂魄不能安息；,愿慎终如始，处深宫广厦，则思东北诸陵魂魄之未安；,愿慎终如始，住在深宫大屋，就想想东北那些陵墓的灵魂还没安定。
射不中，我就征调天下所有的兵剪灭他，决不让此贼留给子孙。”,不中，我且索天下兵翦之，终不以此贼遗子孙。”,不中用，我要找天下兵马去剪除他，终究不会把这个贼留给子孙。
此人不再往生于三恶趣中，而辗转生在常得安乐之处。,是人不复生恶趣，展转常生安乐之处。,此人不再生于坏地方，总是转生到舒服的地方。
必定选择芳香黄熟的五谷，作为酒食祭品，所以酒食祭品是随年成的好坏而增减的。,必择五谷之芳黄，以为酒醴粢盛，故酒醴粢盛与岁上下也。,必选五谷之黄者，做酒和祭品，故酒和祭品随年成好坏变化。
二十四日，派使者祭祠沛高原庙，丰木分榆社。,己丑，遣使祠沛高原庙，丰枌榆社。,己丑日，派使者去沛县高原庙祭祀，又去丰县枌榆社拜祭。
此前，老百姓怨恨茶税重且期限短，王涯被杀死后，他们都咒骂，用瓦片石头投掷他。,初，民怨茶禁苛急，涯就诛，皆群诟詈，抵以瓦砾。,初，百姓恨茶禁太严，杜涯被杀，众人骂他，扔石头瓦片。
鶸蛋在地上滚个不停，就下地用木拖鞋去踏，又没踏住。,鸡子圆转不止，便下床以屐齿踏之，又不得。,鸡子转个不停，就下床用木屐踩，还是不行。
她见人就问：,见人先问：,見人先問好。
官军于是进入龙停砦，一并捉拿扳凳砦苗人龙老丙，命令他献出石章保。,官军遂入龙停砦，并执扳凳砦苗龙老内，令执献章保。,官军进去龙停砦，然后捉了扳凳砦的苗龙老内，让他去交出献章保。
这时，大王就令人剥取小儿的皮，而作为大鼓之用。,是时，大王剥取其皮，而作大鼓。,那时，大王把皮扒下来，做了一个大鼓。
又次，大叫唤地狱的诸狱卒执取那些罪人，掷在于大敖之上，反复的煎熬，使其号咷叫唤，而大叫唤，苦痛辛酸，万毒并至。,复次，大叫唤地狱其诸狱卒，取彼罪人掷大上，反复煎熬，号咷叫唤、大叫唤，苦痛辛酸，万毒并至。,再说大叫唤地狱里的狱卒，把那些罪人扔上去，反复煎熬，他们号咷叫唤，痛苦难当，各种痛苦一起来。
绸子硬直不易弯，咬破撕开很费齿力；,缯体硬强，费人齿力；,缯体硬强，吃力费齿；
佛弟子，应当发起大慈悲心，常行放生之事。,若佛子，以慈心故，行放生业。,若个佛子，用慈悲心，做放生事。
“有一个星球名叫耽戏天，那里的人民成天没有什么事情可以干，整天唱歌跳舞作游戏，心意散乱，把已经发生过的所有事情都忘记得一干二净。,有名为耽戏天，彼等多年，入于耽戏乐法而住，长久入于笑戏乐法而住故，专心散乱而失忆念，专心混乱失忆念，彼等诸天其身殁。,有叫耽戏天的，他们多年沉迷戏乐，长时间笑闹，心神散乱，记忆丧失，那些天人死后。
鲍叔曾与我一起游说过国君，但多次不被采纳，鲍叔不认为我没本事，知道我没有遇上英明的君主；,鲍子尝与我有所说王者，而三不见听，鲍子不以我为不肖，知我之不遇明君也；,鲍子曾经跟我讲了一些关于王的道理，但我三次都没被听从。鲍子不认为我不行，他知道我没遇到明君。
